12:15:53.065296 config: drop-rate=0.00, max-delay=0s, seed=1585671353065086000
12:15:53.065741 router is listening at :3000
19:32:32.621737 config: drop-rate=0.00, max-delay=0s, seed=1585783952621622000
19:32:32.622459 router is listening at :3000
19:39:31.575201 [queue=0] packet #1, 127.0.0.1:51455 -> 127.0.0.1:8007, size=11 is delivered
19:51:38.043210 [queue=0] packet #1, 127.0.0.1:54074 -> 127.0.0.1:8007, size=14 is delivered
19:51:38.044853 [queue=0] packet #2, 127.0.0.1:59354 -> 127.0.0.1:54074, size=14 is delivered
19:57:48.311300 [queue=0] packet #1, 127.0.0.1:60098 -> 127.0.0.1:8007, size=14 is delivered
19:57:48.315336 [queue=0] packet #2, 127.0.0.1:60659 -> 127.0.0.1:60098, size=14 is delivered
20:32:46.860486 [queue=0] packet #1, 127.0.0.1:61860 -> 127.0.0.1:8007, size=14 is delivered
20:32:46.862532 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:61860, size=14 is delivered
20:39:49.064570 [queue=0] packet #1, 127.0.0.1:63201 -> 127.0.0.1:8007, size=14 is delivered
20:39:49.066277 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:63201, size=14 is delivered
20:39:49.075473 [queue=0] packet #2, 127.0.0.1:63201 -> 127.0.0.1:8007, size=14 is delivered
20:43:38.101307 [queue=0] packet #1, 127.0.0.1:59783 -> 127.0.0.1:8007, size=14 is delivered
20:43:38.103140 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:59783, size=14 is delivered
20:43:38.113080 [queue=0] packet #2, 127.0.0.1:59783 -> 127.0.0.1:8007, size=14 is delivered
20:47:33.664633 [queue=0] packet #1, 127.0.0.1:51214 -> 127.0.0.1:8007, size=14 is delivered
20:47:57.590275 [queue=0] packet #1, 127.0.0.1:52075 -> 127.0.0.1:8007, size=14 is delivered
20:47:57.592397 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:52075, size=14 is delivered
